CompanyName,Ldcp,Open,High,Low,Current,Change,Volume
Colgate Palm,"1,359.70",1359.0,1359.99,1339.99,1357.9,-7.16,"5,316"
Fauji Foods Ltd,15.17,15.25,16.49,15.15,16.35,1.11,"60,601,551"
Frieslandcampina,104.52,106.5,107.24,102.5,103.01,-1.45,"2,930,565"
Gillette Pak,280.30,281.0,308.33,281.0,303.0,16.63,"39,120"
Matco Foods Ltd,37.10,39.0,40.81,39.0,40.81,3.71,"1,482,595"
MithchellsFruit,196.36,197.98,200.0,195.11,198.99,1.92,"57,394"
Murree Brewery,837.00,837.8,848.85,837.25,845.0,2.41,894
National Foods,249.03,245.04,250.0,245.04,248.0,-1.57,"33,540"
Nestle Pakistan,"7,091.78",7091.78,7124.0,6971.01,7025.0,-23.14,364
Quice Food,7.37,7.4,7.75,7.31,7.36,0.01,"2,062,222"
Rafhan Maize,"9,266.85",9300.0,10193.54,9275.0,10193.54,926.69,948
Shezan Inter.,184.07,184.07,193.0,184.07,190.48,6.41,"8,065"
Shield Corp.,275.90,275.0,275.99,265.0,275.01,-10.8,"1,334"
The Organic Meat,31.67,31.96,31.96,31.0,31.54,-0.24,"612,327"
Treet Corp,19.91,19.95,20.15,19.4,19.47,-0.46,"2,744,080"
Unilever FoodsXD,"22,725.50",23400.0,23400.0,22725.5,22730.25,12.31,80
Unity Foods Ltd,27.12,26.76,27.49,26.73,26.75,-0.27,"249,808"
ZIL Limited,281.47,286.42,286.42,284.47,284.5,3.02,105
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AICL-MAYB,45.50,45.5,45.5,45.0,45.45,-0.05,"6,000"
AGHA-JUN,8.22,8.22,8.22,8.22,8.22,,"4,000"
AGHA-MAY,8.06,8.24,9.06,8.21,8.72,0.71,"600,000"
AGP-MAYB,186.23,180.01,186.0,180.01,180.05,-3.2,"1,500"
AGL-MAY,56.50,56.0,56.0,54.67,54.7,-1.81,"61,500"
AIRLINK-MAY,160.98,161.0,161.5,157.3,159.0,-2.38,"193,500"
ASL-MAY,11.12,11.3,11.52,11.11,11.3,0.28,"1,143,000"
AKBL-MAYB,45.56,45.69,46.75,45.5,46.6,1.02,"531,500"
PREMA-MAY,50.01,50.0,50.0,45.56,46.15,-3.69,"9,939,000"
PREMA-JUN,54.00,48.66,48.66,48.6,48.6,-5.4,"17,000"
ATRL-MAY,608.99,616.0,618.0,599.57,601.1,-5.61,"204,000"
AVN-MAY,51.64,52.0,52.0,50.41,50.76,-0.9,"329,500"
